mAP,opoznienie_ms,nr_klatki
0.4567,57.70,269
0.5027,57.43,270
0.5056,60.15,271
0.4432,71.31,272
0.4455,67.76,273
0.4489,62.74,274
0.5186,58.90,275
0.5071,57.93,276
0.3913,68.64,277
0.5903,71.09,278
0.3915,69.33,279
0.3934,70.83,280
0.5047,64.51,281
0.5876,59.16,282
0.5679,58.80,283
0.4007,65.24,284
0.5415,65.78,285
0.5352,65.04,286
0.4884,64.47,287
0.4139,57.96,288
0.3746,59.47,289
0.5343,58.06,290
0.4751,65.30,291
0.4801,64.79,292
0.3278,71.74,293
0.3584,58.75,294
