mAP,opoznienie_ms,nr_klatki
0.0000,18297.65,1
0.0000,74.03,2
0.0000,60.31,3
0.0000,56.75,4
0.0000,68.38,5
0.0000,68.98,6
0.0000,70.94,7
0.0000,70.24,8
0.0000,70.12,9
0.0000,66.99,10
0.2248,1757.42,11
0.0000,60.32,12
0.9050,62.62,13
0.4998,62.49,14
0.5453,71.49,15
0.6505,71.30,16
0.7267,74.39,17
0.6820,69.18,18
0.7104,56.72,19
0.6595,56.69,20
0.5625,66.16,21
0.6794,71.16,22
0.7213,67.47,23
0.6350,63.33,24
0.5593,57.09,25
0.5541,57.10,26
0.5923,72.78,27
0.5910,72.48,28
0.6134,69.64,29
0.5685,72.80,30
0.5585,69.71,31
0.7313,61.59,32
0.7614,91.64,33
0.7619,57.25,34
0.6401,72.12,35
0.6497,60.12,36
0.6221,62.60,37
0.6518,70.69,38
0.6896,62.65,39
0.6912,75.00,40
0.7263,76.95,41
0.5383,59.43,42
0.5426,92.63,43
0.7368,60.69,44
0.6174,69.02,45
0.6189,71.00,46
0.5803,73.28,47
0.6110,73.48,48
0.6396,71.92,49
0.7486,84.78,50
0.7856,71.43,51
0.7858,58.90,52
0.7405,66.80,53
0.6475,78.38,54
0.5938,70.64,55
0.6622,72.40,56
0.6159,69.81,57
0.6178,63.35,58
0.6455,60.18,59
0.6359,94.91,60
0.5997,78.33,61
0.6495,62.40,62
0.5713,62.68,63
0.6637,69.62,64
0.5774,59.40,65
0.6475,73.67,66
0.5833,75.10,67
0.6551,71.42,68
0.7008,79.74,69
0.7009,60.73,70
0.6523,78.62,71
0.6568,76.23,72
0.6142,72.42,73
0.6312,60.54,74
0.7154,69.49,75
0.7163,74.36,76
0.5380,71.69,77
0.6792,73.72,78
0.6591,64.93,79
0.6261,77.76,80
0.7906,57.58,81
0.7933,59.73,82
0.7601,71.90,83
0.7438,72.43,84
0.7660,68.69,85
0.7207,59.00,86
0.7600,59.26,87
0.7581,107.28,88
0.6574,78.58,89
0.5568,57.86,90
0.6581,58.40,91
0.6698,73.20,92
0.6695,69.62,93
0.5783,67.43,94
0.6087,57.17,95
0.6569,58.34,96
0.6716,71.15,97
0.7034,70.94,98
0.6666,69.80,99
0.6689,68.55,100
0.6080,59.40,101
0.6492,83.57,102
0.7717,75.85,103
0.7665,59.44,104
0.7693,59.78,105
0.7708,71.24,106
0.7459,71.02,107
0.7405,66.77,108
0.7765,58.03,109
0.6609,57.84,110
0.6600,59.62,111
0.6595,71.27,112
0.6524,73.85,113
0.5993,69.14,114
0.6154,67.79,115
0.5641,61.09,116
0.6753,59.36,117
0.6792,59.65,118
0.5083,59.97,119
0.5990,71.12,120
0.6323,61.15,121
0.5196,57.56,122
0.6471,56.80,123
0.6561,57.16,124
0.6237,68.10,125
0.6444,69.79,126
0.6355,62.54,127
0.5743,57.54,128
0.4861,57.54,129
0.4892,58.52,130
0.5470,69.40,131
0.5676,69.86,132
0.5252,61.48,133
0.6014,57.39,134
0.7220,57.11,135
0.6625,93.66,136
0.5818,57.17,137
0.5618,69.02,138
0.5346,69.57,139
0.4480,67.19,140
0.4214,77.59,141
0.4182,62.69,142
0.4654,58.22,143
0.2496,58.03,144
0.2785,71.20,145
0.2372,67.26,146
0.5736,64.33,147
0.5764,67.70,148
0.0000,74.90,149
0.2350,64.87,150
0.5699,69.51,151
0.4751,70.49,152
0.3176,71.38,153
0.3294,69.54,154
0.5614,68.67,155
0.3312,57.07,156
0.3184,57.38,157
0.2462,57.37,158
0.2521,71.26,159
0.2650,70.85,160
0.0000,79.70,161
0.4111,62.77,162
0.5622,57.84,163
0.2728,71.55,164
0.4300,71.04,165
0.4402,60.34,166
0.0000,80.08,167
0.3503,62.95,168
0.4658,58.40,169
0.2330,70.64,170
0.5154,71.58,171
0.5211,69.28,172
0.4666,68.60,173
0.4125,71.66,174
0.4627,68.43,175
0.2911,76.06,176
0.3290,57.14,177
0.3258,57.89,178
0.5275,56.93,179
0.4485,62.85,180
0.5973,66.80,181
0.4050,57.93,182
0.3156,57.69,183
0.3199,58.07,184
0.8926,72.52,185
0.3548,60.49,186
0.5490,67.88,187
0.4371,57.62,188
0.2097,57.55,189
0.2132,75.36,190
0.3691,57.57,191
0.6930,65.42,192
0.5122,80.39,193
0.5599,72.87,194
0.7144,59.47,195
0.7213,57.87,196
0.7931,69.84,197
0.6395,68.03,198
0.7214,69.83,199
0.5578,65.33,200
0.4350,61.34,201
0.4501,81.64,202
0.5933,65.89,203
0.6803,57.42,204
0.5500,56.95,205
0.4324,70.79,206
0.5225,70.09,207
0.5226,65.97,208
0.4932,56.85,209
0.4779,58.34,210
0.5337,65.28,211
0.3949,59.16,212
0.5439,68.41,213
0.5500,76.65,214
0.6753,66.62,215
0.4977,74.78,216
0.3957,66.08,217
0.4934,57.32,218
0.3239,58.84,219
0.3243,70.92,220
0.4181,64.48,221
0.4090,62.97,222
0.5189,60.17,223
0.5075,58.44,224
0.4771,57.52,225
0.4723,57.66,226
0.4147,80.84,227
0.5171,65.75,228
0.3925,57.74,229
0.7479,58.73,230
0.6264,59.35,231
0.6225,67.62,232
0.4251,65.65,233
0.2463,78.03,234
0.4466,59.82,235
0.3888,57.52,236
0.3090,57.13,237
0.3221,57.80,238
0.4248,64.46,239
0.3868,58.37,240
0.4551,59.13,241
0.5504,58.98,242
0.4218,58.40,243
0.4266,58.36,244
0.4526,-2281.10,245
0.4858,57.95,246
0.5470,57.86,247
0.4432,59.34,248
0.6029,70.98,249
0.6026,71.69,250
0.4268,59.32,251
0.4939,57.81,252
0.6458,57.10,253
0.5025,58.00,254
0.3601,69.76,255
0.3604,70.45,256
0.4002,61.08,257
0.3961,57.79,258
0.3589,57.54,259
0.5468,57.44,260
0.4984,58.41,261
0.4954,58.58,262
0.6445,59.57,263
0.4071,57.53,264
0.5997,66.76,265
0.5421,70.33,266
0.4725,69.97,267
0.4822,79.67,268
