mAP,opoznienie_ms,nr_zdjecia
0.8856,20915.77,1
0.9431,490.87,2
0.7606,77.20,3
0.8976,74.38,4
0.6870,76.24,5
0.9207,75.14,6
0.9020,73.11,7
0.9566,72.77,8
0.9849,68.74,9
0.9242,68.13,10
0.8520,74.00,11
0.4641,69.76,12
0.9347,85.43,13
0.8057,106.28,14
0.7784,95.81,15
0.9196,72.23,16
0.8869,68.52,17
0.9154,71.18,18
0.9281,68.58,19
0.6917,78.61,20
0.5796,69.48,21
0.7599,70.00,22
0.7751,76.54,23
0.7565,84.51,24
0.9835,82.34,25
0.9685,75.06,26
