mAP,opoznienie_ms,nr_klatki
0.2141,21205.94,1
0.4015,231.64,2
0.3995,121.72,3
0.4002,111.95,4
0.2237,114.17,5
0.4316,112.35,6
0.3780,109.04,7
0.2150,105.46,8
0.3466,112.77,9
0.3442,117.62,10
0.3598,114.12,11
0.3388,103.24,12
0.7258,116.74,13
0.3882,114.80,14
0.5329,105.01,15
0.3692,110.95,16
0.4322,103.37,17
0.4825,113.25,18
0.4607,109.49,19
0.5254,118.30,20
0.4052,122.67,21
0.4055,107.46,22
0.4342,103.50,23
0.4276,102.97,24
0.4034,102.57,25
0.4287,104.03,26
0.3981,114.94,27
0.3979,107.33,28
0.3892,107.94,29
0.4198,103.62,30
0.5392,112.33,31
0.5656,113.91,32
0.4914,104.15,33
0.4929,114.28,34
0.4307,122.63,35
0.5914,104.76,36
0.4244,112.81,37
0.4868,111.49,38
0.4603,104.15,39
0.4621,109.08,40
0.4144,117.36,41
0.5062,124.15,42
0.4412,106.12,43
0.3898,118.94,44
0.4192,111.36,45
0.3763,104.14,46
0.3955,103.88,47
0.5113,104.33,48
0.4478,108.57,49
0.4323,110.36,50
0.5205,104.75,51
0.5208,104.53,52
0.4867,104.08,53
0.3865,111.03,54
0.4049,115.63,55
0.3608,103.55,56
0.3737,109.04,57
0.3740,105.78,58
0.4397,111.95,59
0.4135,105.00,60
0.3873,104.28,61
0.4028,106.34,62
0.5133,112.74,63
0.5140,109.51,64
0.4139,111.15,65
0.4461,100.87,66
0.3756,105.11,67
0.3612,112.21,68
0.4459,101.79,69
0.4454,111.60,70
0.3385,102.60,71
0.3568,107.09,72
0.3943,114.51,73
0.4396,105.10,74
0.4226,103.40,75
0.4234,111.86,76
0.4237,112.50,77
0.4600,102.40,78
0.3842,103.60,79
0.4377,101.50,80
0.5222,105.19,81
0.5219,108.31,82
0.3836,105.65,83
0.4496,102.13,84
0.4339,102.72,85
0.4365,103.74,86
0.3870,109.52,87
0.3869,108.67,88
0.3930,101.25,89
0.3662,102.09,90
0.4160,106.57,91
0.4197,109.29,92
0.4222,102.19,93
0.4487,101.61,94
0.4442,101.36,95
0.3842,106.57,96
0.3916,113.26,97
0.4186,126.70,98
0.4041,106.28,99
0.4030,103.14,100
0.4721,103.86,101
0.4497,107.56,102
0.3998,101.74,103
0.4282,104.06,104
0.3956,106.93,105
0.3947,106.98,106
0.4516,109.21,107
0.4846,120.76,108
0.4470,111.73,109
0.4570,113.52,110
0.5002,104.03,111
0.4991,106.53,112
0.3738,102.03,113
0.3700,107.20,114
0.3553,104.21,115
0.3727,101.60,116
0.3763,113.73,117
0.3734,106.29,118
0.4539,107.25,119
0.4392,103.37,120
0.4594,104.06,121
0.5032,107.69,122
0.4536,105.29,123
0.4537,103.66,124
0.4381,109.48,125
0.4362,-2287.28,126
0.4325,104.68,127
0.4488,102.20,128
0.4352,108.76,129
0.4359,104.53,130
0.4292,105.81,131
0.4594,106.24,132
0.3815,113.23,133
0.4467,108.35,134
0.4790,106.01,135
0.4489,106.60,136
0.5971,113.89,137
0.5145,106.57,138
0.4989,108.68,139
0.4123,104.03,140
0.4002,108.71,141
0.3657,104.36,142
0.4471,114.67,143
0.3991,102.33,144
0.4025,106.67,145
0.3388,101.60,146
0.4480,113.20,147
0.4402,101.25,148
0.4369,101.82,149
0.4093,103.15,150
0.4367,103.55,151
0.4034,101.71,152
0.4322,106.61,153
0.4334,106.44,154
0.4272,110.67,155
0.4072,113.74,156
0.3909,108.96,157
0.3635,102.26,158
0.4002,103.05,159
0.3993,101.36,160
0.4294,104.70,161
0.3759,102.23,162
0.4341,101.11,163
0.4438,107.41,164
0.3945,104.07,165
0.3956,109.47,166
0.3628,101.63,167
0.3672,102.74,168
0.4377,102.10,169
0.4343,107.03,170
0.4288,104.35,171
0.4247,106.07,172
0.4220,104.86,173
0.4003,105.35,174
0.3831,112.74,175
0.4315,105.28,176
0.5067,102.60,177
0.5052,101.35,178
0.5319,109.29,179
0.4477,101.88,180
0.4565,106.79,181
0.4784,102.17,182
0.4608,101.57,183
0.4604,105.47,184
0.4649,104.29,185
0.4999,103.26,186
0.4437,102.72,187
0.4359,111.05,188
0.4596,111.74,189
0.4598,104.78,190
0.4780,102.91,191
0.4948,102.17,192
0.4717,101.79,193
0.4913,108.94,194
0.4474,112.04,195
0.4477,101.89,196
0.4456,107.07,197
0.4395,101.97,198
0.4139,107.53,199
0.4453,113.33,200
0.5007,113.26,201
0.5003,107.76,202
0.5064,102.49,203
0.5930,109.75,204
0.6236,103.26,205
0.5364,103.42,206
0.5572,109.11,207
0.5578,105.30,208
0.4949,108.36,209
0.5649,107.45,210
0.5725,110.25,211
0.5544,109.63,212
0.5633,103.82,213
0.5620,107.82,214
0.4907,104.47,215
0.5321,135.36,216
0.6013,110.29,217
0.5713,109.72,218
0.6057,103.21,219
0.6044,104.72,220
0.5719,107.37,221
0.6033,113.17,222
0.5969,115.72,223
0.4929,104.63,224
0.4049,107.71,225
0.4044,113.75,226
0.4340,112.77,227
0.4801,106.77,228
0.4953,106.29,229
0.4047,116.62,230
0.3846,114.39,231
0.3858,105.00,232
0.4949,105.65,233
0.4474,110.85,234
0.4516,114.37,235
0.4944,104.74,236
0.4810,104.97,237
0.4820,104.31,238
0.4921,109.23,239
0.4389,113.34,240
0.4219,113.97,241
0.3927,107.48,242
0.3622,107.76,243
0.3951,113.82,244
0.3621,107.35,245
0.3900,106.79,246
0.3870,105.92,247
0.3945,109.14,248
0.3811,102.97,249
0.3811,107.16,250
0.3793,103.75,251
0.3742,112.56,252
0.4221,115.12,253
0.4903,103.60,254
0.4638,104.51,255
0.4635,114.66,256
0.4466,110.96,257
0.4451,103.94,258
0.4149,112.20,259
0.4651,104.56,260
0.4673,111.26,261
0.4656,112.44,262
0.4519,103.55,263
0.5090,105.21,264
0.4284,108.62,265
0.4729,110.58,266
0.5304,110.08,267
0.5308,108.68,268
0.4533,112.42,269
0.4263,112.84,270
0.4302,106.59,271
0.4745,108.79,272
0.4461,105.68,273
0.4770,109.65,274
0.4639,105.26,275
0.5568,105.28,276
0.5246,110.24,277
0.5445,114.19,278
0.5060,103.45,279
0.5064,111.56,280
0.4979,104.68,281
0.4459,108.53,282
0.4128,107.75,283
0.4038,109.59,284
0.4714,102.84,285
0.4705,108.30,286
0.4681,116.02,287
0.4461,104.70,288
0.4027,106.70,289
0.4863,103.76,290
0.5207,109.73,291
0.5214,111.51,292
0.5342,103.21,293
0.4482,104.51,294
