mAP,opoznienie_ms,nr_zdjecia
0.7282,16265.68,1
0.6196,462.88,2
0.6180,115.96,3
0.5455,110.65,4
0.5080,109.86,5
0.5183,108.42,6
0.5790,101.70,7
0.6220,98.73,8
0.9379,103.60,9
0.6581,103.11,10
0.4318,98.10,11
0.3012,98.66,12
0.6028,100.81,13
0.5874,109.92,14
0.6783,101.40,15
0.7829,124.72,16
0.4956,97.28,17
0.5611,97.79,18
0.6126,100.32,19
0.2931,100.76,20
0.2885,97.85,21
0.2180,104.25,22
0.2979,97.63,23
0.3363,97.26,24
0.7942,104.62,25
0.8138,107.20,26
