mAP,opoznienie_ms,nr_zdjecia
0.3688,16586.23,1
0.4113,498.13,2
0.3407,47.89,3
0.3894,51.21,4
0.4174,51.41,5
0.4147,84.47,6
0.5100,51.41,7
0.3337,47.18,8
0.3955,65.59,9
0.4894,48.00,10
0.3254,48.02,11
0.2376,48.60,12
0.3234,48.31,13
0.3210,57.03,14
0.4673,48.71,15
0.3850,48.52,16
0.3821,48.87,17
0.3133,49.23,18
0.4140,49.71,19
0.2997,52.71,20
0.2365,58.54,21
0.2969,50.76,22
0.3933,50.75,23
0.3026,70.65,24
0.3546,59.95,25
0.3084,71.05,26
