mAP,opoznienie_ms,nr_klatki
0.0000,40.50,169
0.0000,56.01,170
0.0000,39.26,171
0.0000,36.54,172
0.0000,41.84,173
0.0000,35.64,174
0.0000,41.33,175
0.0000,39.75,176
0.0000,36.03,177
0.0000,36.03,178
0.0000,53.00,179
0.2506,37.09,180
0.2052,51.29,181
0.2309,37.41,182
0.0000,34.22,183
0.0000,36.22,184
0.2511,36.68,185
0.2303,36.31,186
0.2350,37.78,187
0.0000,33.11,188
0.2075,51.57,189
0.2062,35.39,190
0.2229,37.88,191
0.2540,38.80,192
0.0000,50.63,193
0.2308,74.62,194
0.2491,63.12,195
0.2479,61.55,196
0.2743,38.78,197
0.2575,36.70,198
0.0000,35.32,199
0.2207,38.63,200
0.2027,39.05,201
0.2027,41.04,202
0.0000,47.43,203
0.0000,34.42,204
0.0000,37.69,205
0.0000,35.04,206
0.0000,36.95,207
0.0000,36.41,208
0.2246,37.22,209
0.0000,44.97,210
0.0000,39.24,211
0.0000,38.54,212
0.0000,34.80,213
0.0000,39.60,214
0.0000,39.25,215
0.0000,38.69,216
0.0000,51.46,217
0.0000,34.52,218
0.0000,41.50,219
0.0000,41.02,220
0.0000,40.72,221
0.0000,37.68,222
0.0000,34.04,223
0.0000,36.80,224
0.0000,37.51,225
0.0000,43.50,226
0.0000,38.49,227
0.2010,40.08,228
0.0000,38.85,229
0.2209,36.83,230
0.4190,48.05,231
0.4189,53.52,232
0.3980,37.78,233
0.3644,41.58,234
0.0000,50.23,235
0.0000,37.57,236
0.0000,41.37,237
0.0000,38.29,238
0.2435,74.52,239
0.2117,38.10,240
0.2246,46.32,241
0.2183,41.95,242
0.2695,41.95,243
0.2686,38.49,244
0.3022,38.34,245
0.3940,39.65,246
0.3607,39.08,247
0.3035,37.42,248
0.0000,37.77,249
0.0000,38.13,250
0.0000,38.07,251
0.0000,37.44,252
0.2281,38.77,253
0.2199,40.24,254
0.0000,37.02,255
0.0000,36.62,256
0.0000,37.44,257
0.0000,38.54,258
0.0000,37.01,259
0.0000,36.30,260
0.0000,36.96,261
0.0000,35.68,262
0.2470,36.40,263
0.2964,35.73,264
0.0000,53.68,265
0.2142,37.80,266
0.0000,36.56,267
0.0000,49.36,268
0.0000,48.41,269
0.2132,37.03,270
0.2090,64.63,271
0.2604,37.65,272
0.2342,37.15,273
0.2340,39.38,274
0.0000,36.05,275
0.0000,37.91,276
0.0000,37.11,277
0.2055,37.40,278
0.0000,34.64,279
0.0000,36.11,280
0.0000,34.61,281
0.0000,37.65,282
0.2018,35.11,283
0.2178,37.96,284
0.0000,35.12,285
0.0000,36.48,286
0.0000,40.40,287
0.2095,38.69,288
0.0000,40.96,289
0.0000,38.61,290
0.2560,37.87,291
0.2558,37.44,292
0.2090,37.86,293
0.2021,36.32,294
