mAP,opoznienie_ms,nr_klatki
0.0000,18945.29,1
0.0000,55.41,2
0.0000,37.46,3
0.0000,38.69,4
0.0000,38.21,5
0.0000,34.59,6
0.0000,38.32,7
0.0000,34.86,8
0.0000,35.99,9
0.0000,35.57,10
0.0000,36.29,11
0.0000,35.61,12
0.0000,56.86,13
0.0000,37.25,14
0.0000,37.54,15
0.0000,36.49,16
0.0000,48.82,17
0.2580,-665.72,18
0.2508,54.24,19
0.2512,56.42,20
0.2235,48.91,21
0.2237,51.37,22
0.2348,54.55,23
0.2233,37.13,24
0.2185,38.58,25
0.2323,37.60,26
0.0000,40.96,27
0.0000,42.85,28
0.2074,39.37,29
0.0000,38.58,30
0.2069,36.99,31
0.2003,45.31,32
0.0000,36.07,33
0.0000,35.67,34
0.2340,37.35,35
0.2268,37.02,36
0.2098,36.19,37
0.2057,37.00,38
0.2135,42.98,39
0.2159,37.29,40
0.0000,37.25,41
0.2268,36.32,42
0.2079,39.15,43
0.0000,36.83,44
0.2306,38.49,45
0.2302,37.93,46
0.2518,35.41,47
0.2020,57.10,48
0.0000,35.03,49
0.0000,35.70,50
0.2077,39.63,51
0.2063,42.31,52
0.0000,40.09,53
0.0000,37.99,54
0.0000,39.10,55
0.2032,41.53,56
0.0000,70.09,57
0.0000,42.38,58
0.2066,39.53,59
0.2301,48.71,60
0.2010,37.81,61
0.2058,72.08,62
0.0000,36.98,63
0.0000,36.75,64
0.0000,37.91,65
0.0000,52.02,66
0.0000,52.37,67
0.0000,34.78,68
0.2029,47.92,69
0.2028,48.38,70
0.2130,42.84,71
0.2218,37.06,72
0.2189,36.57,73
0.2945,39.02,74
0.2028,58.09,75
0.2014,41.07,76
0.2159,48.26,77
0.2356,54.85,78
0.2104,39.44,79
0.0000,38.45,80
0.2259,36.94,81
0.2259,58.59,82
0.2089,38.40,83
0.0000,48.58,84
0.0000,34.92,85
0.0000,39.47,86
0.2065,38.24,87
0.2069,53.50,88
0.2120,40.99,89
0.2270,40.01,90
0.2116,47.80,91
0.2111,42.33,92
0.0000,39.80,93
0.0000,50.16,94
0.0000,43.48,95
0.0000,57.43,96
0.0000,51.63,97
0.0000,37.16,98
0.2048,46.57,99
0.2049,42.95,100
0.2885,45.94,101
0.0000,35.73,102
0.0000,38.30,103
0.0000,37.44,104
0.0000,36.62,105
0.0000,39.48,106
0.0000,49.78,107
0.2228,39.05,108
0.2304,38.61,109
0.0000,37.93,110
0.0000,36.85,111
0.0000,39.71,112
0.2167,37.83,113
0.2226,37.48,114
0.0000,34.67,115
0.0000,35.56,116
0.2150,37.76,117
0.2157,38.36,118
0.2223,39.47,119
0.0000,35.07,120
0.2031,55.05,121
0.2136,38.85,122
0.0000,38.33,123
0.0000,38.07,124
0.2286,41.82,125
0.2283,37.26,126
0.2029,39.25,127
0.0000,44.96,128
0.0000,53.09,129
0.0000,37.48,130
0.0000,36.82,131
0.0000,35.87,132
0.0000,35.96,133
0.0000,37.40,134
0.2035,40.65,135
0.2030,38.95,136
0.0000,37.08,137
0.0000,52.71,138
0.2100,36.41,139
0.0000,41.51,140
0.0000,36.46,141
0.0000,36.77,142
0.0000,37.07,143
0.0000,36.89,144
0.0000,34.98,145
0.0000,36.92,146
0.0000,37.51,147
0.0000,35.99,148
0.0000,44.47,149
0.0000,36.73,150
0.0000,50.41,151
0.0000,36.10,152
0.0000,38.55,153
0.0000,57.77,154
0.0000,35.70,155
0.0000,39.88,156
0.0000,39.02,157
0.0000,37.05,158
0.0000,36.72,159
0.0000,38.30,160
0.0000,37.81,161
0.0000,39.09,162
0.0000,34.43,163
0.0000,36.57,164
0.0000,36.26,165
0.0000,35.81,166
0.0000,51.39,167
0.0000,35.91,168
