mAP,opoznienie_ms,nr_zdjecia
0.3473,16197.38,1
0.4144,497.50,2
0.4000,45.84,3
0.3949,40.96,4
0.3270,45.54,5
0.3938,40.82,6
0.4242,41.01,7
0.5332,45.10,8
0.6507,44.24,9
0.5228,36.75,10
0.3357,37.01,11
0.3647,36.95,12
0.3547,43.06,13
0.3233,36.88,14
0.4398,42.92,15
0.4532,39.96,16
0.3871,50.06,17
0.3463,42.17,18
0.4536,41.20,19
0.3979,42.42,20
0.3429,42.96,21
0.4499,51.22,22
0.4377,49.88,23
0.2997,44.10,24
0.5324,44.45,25
0.4371,53.81,26
