mAP,opoznienie_ms,nr_klatki
0.0000,17989.04,1
0.0000,127.91,2
0.0000,81.03,3
0.0000,80.71,4
0.0000,74.22,5
0.0000,44.68,6
0.0000,45.44,7
0.0000,42.84,8
0.0000,33.55,9
0.0000,29.75,10
0.0000,30.66,11
0.0000,29.68,12
0.0000,29.51,13
0.0000,27.83,14
0.0000,28.82,15
0.0000,29.78,16
0.0000,29.32,17
0.0000,29.52,18
0.0000,27.53,19
0.0000,28.64,20
0.0000,28.15,21
0.0000,29.25,22
0.0000,28.26,23
0.0000,36.85,24
0.0000,29.77,25
0.0000,36.29,26
0.0000,27.68,27
0.0000,28.57,28
0.0000,28.61,29
0.0000,28.58,30
0.0000,31.54,31
0.0000,28.27,32
0.2036,1205.11,33
0.2033,30.28,34
0.0000,29.47,35
0.0000,28.37,36
0.0000,28.58,37
0.0000,34.13,38
0.0000,29.08,39
0.0000,53.51,40
0.0000,52.71,41
0.0000,29.17,42
0.0000,29.07,43
0.0000,29.14,44
0.0000,29.06,45
0.0000,27.51,46
0.0000,29.95,47
0.0000,28.58,48
0.2314,-1910.25,49
0.0000,28.90,50
0.2038,29.23,51
0.2036,32.25,52
0.0000,56.78,53
0.0000,70.43,54
0.0000,79.49,55
0.0000,82.10,56
0.0000,28.56,57
0.0000,29.22,58
0.2012,29.56,59
0.2159,29.40,60
0.2112,35.37,61
0.0000,44.16,62
0.2206,29.51,63
0.2201,29.78,64
0.2099,35.45,65
0.2033,35.37,66
0.2075,30.09,67
0.0000,28.49,68
0.2077,30.91,69
0.2076,30.35,70
0.0000,28.74,71
0.0000,28.94,72
0.2106,28.68,73
0.2151,44.11,74
0.2062,29.87,75
0.2070,29.65,76
0.0000,29.09,77
0.0000,29.16,78
0.0000,29.04,79
0.0000,39.51,80
0.0000,49.37,81
0.0000,28.21,82
0.0000,28.58,83
0.0000,27.92,84
0.0000,28.39,85
0.0000,29.55,86
0.0000,30.83,87
0.0000,28.93,88
0.0000,28.08,89
0.0000,28.53,90
0.0000,29.90,91
0.0000,28.44,92
0.0000,28.99,93
0.0000,36.00,94
0.0000,28.98,95
0.0000,30.07,96
0.0000,28.36,97
0.0000,28.58,98
0.0000,28.54,99
0.0000,28.06,100
0.0000,28.60,101
0.0000,28.54,102
0.0000,28.96,103
0.0000,28.46,104
0.0000,29.28,105
0.0000,28.68,106
0.0000,26.93,107
0.0000,28.32,108
0.0000,26.57,109
0.0000,33.47,110
0.0000,33.25,111
0.0000,30.16,112
0.0000,32.65,113
0.0000,30.89,114
0.0000,28.92,115
0.0000,30.22,116
0.0000,28.57,117
0.0000,29.10,118
0.0000,39.00,119
0.0000,39.29,120
0.0000,30.18,121
0.0000,28.79,122
0.0000,45.12,123
0.0000,29.16,124
0.0000,28.99,125
0.0000,29.11,126
0.0000,44.39,127
0.0000,29.36,128
0.0000,29.58,129
0.0000,29.73,130
0.0000,57.83,131
0.0000,28.95,132
0.0000,32.09,133
0.0000,29.41,134
0.0000,35.81,135
0.0000,33.74,136
0.0000,30.11,137
0.0000,43.92,138
0.0000,30.69,139
0.0000,42.08,140
0.0000,48.29,141
0.0000,38.28,142
0.0000,28.47,143
0.0000,28.13,144
0.0000,43.69,145
0.0000,30.75,146
0.0000,33.15,147
0.0000,43.47,148
0.0000,30.83,149
0.0000,37.60,150
0.0000,38.52,151
0.2312,31.78,152
0.2585,31.28,153
0.2618,30.87,154
0.2044,28.62,155
0.2277,57.90,156
0.0000,31.74,157
0.2003,55.50,158
0.2169,52.45,159
0.2155,31.29,160
0.0000,28.39,161
0.0000,28.95,162
0.0000,29.04,163
0.2016,34.15,164
0.0000,51.08,165
0.0000,54.08,166
0.0000,28.76,167
0.2044,31.35,168
0.2941,32.20,169
0.3156,31.92,170
0.3140,29.34,171
0.3179,29.46,172
0.2163,31.58,173
0.2119,30.98,174
0.2505,31.41,175
0.0000,32.83,176
0.0000,28.88,177
0.0000,27.80,178
0.0000,28.73,179
0.0000,29.20,180
0.0000,29.35,181
0.2278,30.17,182
0.0000,28.91,183
0.0000,30.14,184
0.2587,29.08,185
0.2344,29.64,186
0.0000,51.41,187
0.0000,28.31,188
0.0000,28.79,189
0.0000,27.81,190
0.2369,30.01,191
0.2001,32.07,192
0.2538,32.32,193
0.3022,32.13,194
0.2152,32.32,195
0.2147,29.94,196
0.0000,29.48,197
0.2323,52.39,198
0.2219,31.11,199
0.2454,30.48,200
0.3389,29.80,201
0.3395,40.75,202
0.3471,32.22,203
0.2339,30.22,204
0.0000,30.08,205
0.0000,31.06,206
0.0000,30.28,207
0.0000,27.65,208
0.2282,30.87,209
0.2806,29.80,210
0.2679,29.46,211
0.3592,30.64,212
0.3558,29.98,213
0.3559,29.51,214
0.3009,29.57,215
0.3589,29.92,216
0.0000,28.64,217
0.2604,29.61,218
0.0000,28.31,219
0.0000,28.27,220
0.2267,29.47,221
0.2096,44.89,222
0.2423,29.74,223
0.2584,30.98,224
0.2215,30.99,225
0.2206,31.32,226
0.0000,29.56,227
0.0000,28.88,228
0.0000,28.51,229
0.2090,46.90,230
0.2052,31.07,231
0.2078,30.54,232
0.2119,30.13,233
0.2567,29.22,234
0.2459,66.68,235
0.2207,30.82,236
0.0000,29.10,237
0.0000,31.35,238
0.0000,28.28,239
0.2569,30.22,240
0.2095,31.97,241
0.2383,30.29,242
0.0000,30.15,243
0.0000,28.86,244
0.2239,32.89,245
0.0000,28.97,246
0.0000,27.84,247
0.0000,29.21,248
0.0000,28.50,249
0.0000,29.42,250
0.0000,45.57,251
0.0000,57.68,252
0.0000,28.51,253
0.0000,29.70,254
0.2361,30.09,255
0.2367,29.71,256
0.2233,29.28,257
0.0000,29.09,258
0.0000,30.65,259
0.0000,30.49,260
0.0000,28.52,261
0.0000,28.70,262
0.0000,36.90,263
0.0000,28.58,264
0.0000,28.02,265
0.2261,30.76,266
0.2666,28.87,267
0.2665,29.01,268
0.0000,31.65,269
0.0000,29.52,270
0.2751,29.72,271
0.3890,29.87,272
0.3502,29.51,273
0.3507,29.07,274
0.3276,29.90,275
0.0000,43.73,276
0.0000,29.86,277
0.0000,50.86,278
0.2492,30.04,279
0.2480,28.96,280
0.2538,51.43,281
0.3981,30.19,282
0.3289,29.65,283
0.4525,30.87,284
0.2545,36.88,285
0.2541,30.79,286
0.0000,28.85,287
0.3747,29.98,288
0.4095,30.37,289
0.2607,29.09,290
0.2780,29.26,291
0.2777,31.93,292
0.3421,32.16,293
0.4053,32.81,294
